video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=W2eTtAICM88&pp=ygUMU3BhY2UgTmVlZGxl,/@ActionKid,ActionKid,Seattle Walk : Pike Place Market to Space Needle at Night,25K,8 months,Seattle is a coastal seaport city located in the Pacific Northwest region of the United States. It is the largest city in the state of ...,2024-01-28 22:53:27.823830
/watch?v=t1wGabBTcgw&pp=ygUMU3BhY2UgTmVlZGxl,/@Viator,Viator Travel,Seattle Space Needle Observation Deck,69K,7 years,Featuring travel host Brock Groombridge of @BackpackWithBrock See more of Brock's adventures: Viator Experiences: ...,2024-01-28 22:53:27.827948
/watch?v=qxdS5uiB3oY&pp=ygUMU3BhY2UgTmVlZGxl,/@spaceneedle,Space Needle,Experience 2 New Level of Thrills at the Space Needle during Your Visit to Seattle,146K,10 months,"Experience two entirely new levels of thrills! From an all-glass floor on the lower level to floor-to-ceiling glass on the upper level, ...",2024-01-28 22:53:27.830911
/watch?v=qyeeb02PoYA&pp=ygUMU3BhY2UgTmVlZGxl,/@LeggLife,LeggLife,"Exploring Seattle! Pike Place Market, Space Needle, Coffee & MORE!",6.5K,1 year,"An amazing day in one of our favorite cities! This day in Seattle included some Seattle favorites. From coffee at Storyville, ...",2024-01-28 22:53:27.834996
/watch?v=8Es6BZpT_X0&pp=ygUMU3BhY2UgTmVlZGxl,/@KevinStratvert,Kevin Stratvert,"Seattle SPACE NEEDLE | Stunning Drone, DSLR, & GoPro Video",3.8K,7 years,"DINING AT THE TOP OF SEATTLE! This week I head up to the top of the Space Needle, one of Seattle's most famous landmarks, ...",2024-01-28 22:53:27.838075
/watch?v=BDoDQzs5S0c&pp=ygUMU3BhY2UgTmVlZGxl,/@worldcoolfacts,World Cool Facts,5 Fascinating Facts About Space Needle,780,10 months,"In this video, we explore 5 fascinating facts about the iconic Space Needle in Seattle, Washington. From its unique design to its ...",2024-01-28 22:53:36.606982
/watch?v=uW_4HIGTBNk&pp=ygUMU3BhY2UgTmVlZGxl,/@FridaysForever,Friday's Forever,Gatlinburg Tennessee SPACE NEEDLE Tour! Spring 2021,12K,2 years,Join us for a tour of the Gatlinburg Space Needle in downtown Gatlinburg! The views of Gatlinburg and The Great Smoky ...,2024-01-28 22:53:36.609262
/shorts/8_0LHmAuUng,/@TheStarReport,THE STAR REPORT,"The Space Needle (Seattle, Washington)",5.3K,7 months,"The Space Needle is an observation tower in Seattle, Washington, United States. Considered to be an icon of the city, it has been ...",2024-01-28 22:53:36.612167
/watch?v=LhhgTphw680&pp=ygUMU3BhY2UgTmVlZGxl,/@AustrianBrickFan,AustrianBrickFan,Lego Architecture 21003 Seattle Space Needle - Lego Speed Build Review,119K,8 years,"57 pcs/Teile Year / Jahr 2009 Lego 21003 Review The Seattle Space Needle can be yours! Build Seattle, Washington's famous ...",2024-01-28 22:53:36.613861
/shorts/t7dlRrZpgWY,/@HDADVENTURE,HD Adventure,"SPACE NEEDLE View, Seattle Washington",2.1K,8 months,"futuristic tower that was built for the 1962 World's Fair, also known as the Century 21 Exposition. Designed by architect John ...",2024-01-28 22:53:36.615396
/watch?v=ESyhCingkOQ&pp=ygUMU3BhY2UgTmVlZGxl,/@learntodrawdoodle1829,Learn to Draw & Doodle,How to draw 47: Space Needle,3.6K,3 years,I don't think I have done an architecture doodle yet :) Let's learn to draw the iconic Space Needle in Seattle.,2024-01-28 22:53:36.616910
/watch?v=4MVO-AIZl5E&pp=ygUMU3BhY2UgTmVlZGxl,/@CaitlinramblesonthePS5,Caitlin,Every time you see the Space Needle in The Last of Us Part II,8.5K,1 year,This game is so darn pretty. #thelastofuspart2.,2024-01-28 22:53:36.618905
/watch?v=_Kk7OzPDFqI&pp=ygUMU3BhY2UgTmVlZGxl,/@DazewithJordantheLion,Daze with Jordan the Lion,"Full SPACE NEEDLE Tour, Jimi Hendrix Statue, CenturyLink Field - SEATTLE",20K,3 years,"1368 Full SPACE NEEDLE Tour, Jimi Hendrix Statue, CenturyLink Field - SEATTLE WA Travel (9/14/20) CLICK TO SUBSCRIBE: ...",2024-01-28 22:53:36.620926
/shorts/if5muMohDhQ,/@LisaNguyen,Lisa Nguyen,Eating at the top of the Space Needle,424K,2 years,shorts #SpaceNeedle #food #foodie.,2024-01-28 22:53:36.622618
/watch?v=hSp1WEpScag&pp=ygUMU3BhY2UgTmVlZGxl,/@gavinrileysmokemachine6075,Gavin Riley Smoke Machine,Space Needle Mystery,6.7K,8 years,Space Needle Mystery is an interactive video series. Choose Your Destiny! GET JAZZED UP- https://youtu.be/KtTJXvCW-QQ ...,2024-01-28 22:53:36.624217
/shorts/gMMiMhlJwbo,/@ItsHistoryON-AIR,It’s History ON-AIR,The Fascinating Story Behind the Space Needle,554,7 months,The vision for #seattle 's most iconic #monument.,2024-01-28 22:53:36.625743
/watch?v=mnIcgbgAU1c&pp=ygUMU3BhY2UgTmVlZGxl,/@PlushTimeWins,Plush Time Wins,"The BEST Arcade in Gatlinburg, TN! - Arcadia Space Needle Arcade!",106K,8 months,"Today we went to the best arcade in Gatlinburg, Tennessee! Arcadia has the best arcade with a ton of game variety and so many ...",2024-01-28 22:53:36.627092
/watch?v=-ulAfb8bf_4&pp=ygUMU3BhY2UgTmVlZGxl,/@Viator,Viator Travel,"Space Needle and Chihuly Garden and Glass Combination Ticket, Seattle",22K,7 years,Featuring travel host Brock Groombridge of @BackpackWithBrock See more of Brock's adventures: Viator Experiences: ...,2024-01-28 22:53:36.628645
/watch?v=wSRDFS0twOg&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,Walking on the Edge of the Space Needle | VR 360,1.5K,5 years,"KING 5's Jake Whittenberg and Mimi Jung walk 605 feet in the air, on the edge of the Space Needle. Do you have what it takes?",2024-01-28 22:53:36.629904
/watch?v=kUoqTQjapFg&pp=ygUMU3BhY2UgTmVlZGxl,/@FoxNews,Fox News,Watch drone slam into Seattle's Space Needle,19K,7 years,Raw video: Footage of drone flying straight into platform as workers set up fireworks for New Year's Eve celebrations released.,2024-01-28 22:53:36.631163
/watch?v=XIeCx9bxBBc&pp=ygUMU3BhY2UgTmVlZGxl,/@SharingtheRoad,Sharing the Road,Top 10 Things to Do in Seattle | Seattle Travel Guide,227K,1 year,... Market 1:57 - Seattle Spheres 3:07 - Freemont Troll 4:06 - Gasworks Park 5:22 - Water Taxi to West Seattle 6:19 - Space Needle ...,2024-01-28 22:53:36.632970
/watch?v=rC4PqUNCQyo&pp=ygUMU3BhY2UgTmVlZGxl,/@KING5Seattle,KING 5 Seattle,'Astronaut White' returning to Space Needle as 60th anniversary celebration ends,1.3K,9 months,"The Space Needle is returning to ""Astronaut White"" after it was painted its original ""Galaxy Gold"" for its 60th-anniversary ...",2024-01-28 22:53:36.634233
/watch?v=nij2LpOjFTs&pp=ygUMU3BhY2UgTmVlZGxl,/@demonhuntersii5099,Demon Hunters II,🚨 2021 Space Needle Breakdown by “Hidden in the Crag”,6.2K,3 years,2021 Space Needle Breakdown by “Hidden in the Crag”,2024-01-28 22:53:36.635480
