video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=wnhExSuX5wc&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@itsknighttime1810,It's Knight Time!,Riding the Seattle Great Wheel,47,4 years,"Riding the Seattle Great Wheel in Seattle, Washington!",2024-01-28 23:21:25.706143
/watch?v=e0YqLRFJ4F4&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@seattlepi3183,seattlepi,A preview ride aboard the Seattle Great Wheel,7.5K,11 years,A preview ride aboard the Seattle Great Wheel.,2024-01-28 23:21:25.713750
/watch?v=q6QGnjgpk0k&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@neilpriyanka7037,Neil & Priyanka,Seattle Great Wheel,361,4 years,Hello everyone ! After getting a good view of Seattle great wheel from my workplace for about a year I finally decided to visit it with ...,2024-01-28 23:21:25.719246
/watch?v=MCVl9zmRT2g&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@CamEveryDay,CamEveryDay,"Seattle Great Wheel! July 15th, 2012",1.3K,11 years,BIGCHOCOLATE JULY SPOTIFY PLAYLIST: http://t.co/4wxu44bc.,2024-01-28 23:21:25.724761
/watch?v=ox7acnG4UGw&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@bearsorensen,BearSorensen,THE SEATTLE GREAT WHEEL,29,4 years,"Rollin on the GREAT WHEEL....with the best of em...MI FAMILIA...A DIOS, A LA VIDA ,YA LA FAMILIA...MAY WE BE BLESSED ...",2024-01-28 23:21:25.727883
/watch?v=PIyU8Kg43fw&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@lendavis,Len Davis,Seattle's Great Wheel and a Changing Waterfront Downtown,2.5K,11 years,"There`s a new landmark down at Seattle`s waterfront. It`s not only changing the skyline of the City, but it`s also bringing a boost to ...",2024-01-28 23:21:25.731675
/watch?v=8l2p-HqPC2Q&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@kennethwoolcott6221,Kenneth Woolcott,"2012-06-17 Seattle's ""Great Wheel"" Testing of lights on Ferris Wheel",5.3K,11 years,"Sneak Peek of Seattle's Great Wheel light show.coming soon................WOW, what a show IMHO. My eight year old loved it.",2024-01-28 23:21:25.734646
/shorts/XILFLGFLYsQ,/@sowshivlogs4002,Sowshi Vlogs,Seattle Great Wheel #familytime #seattle #greatwheel #shorts,720,5 months,Glimpse of fun time at Seattle the great wheel. #shorts #youtubeshorts #seattlegreatwheel #makeba.,2024-01-28 23:21:25.737779
/watch?v=NcHW0-28pGQ&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@JasonThomas76,Jason Thomas,Seattle Great Wheel,101,8 years,Thomas family rides the Seattle Great Wheel.,2024-01-28 23:21:25.743146
/shorts/sjkDzhke28g,/@beyondtheskylines1,Beyond The Skylines,The Seattle Great Wheel | #shorts,175,1 year,"The Seattle Great Wheel #shorts Like, share, comment and subscribe for more awesome videos. SUPPORT ME Cash ...",2024-01-28 23:21:25.750620
/watch?v=H1Ei2-L4VgE&pp=ygUTR3JlYXQgV2hlZWwgU2VhdHRsZQ%3D%3D,/@iheartrainbownart,I heart rainbow and art,Seattle Great Wheel,43,1 year,Seattle Great Wheel #seattle #seattlewithkids #travelwithkids #tripwithfamily #familyfun #familytravel #mustsee.,2024-01-28 23:21:25.754063
